doc,summarizer,shuffle_score
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db,BanditSum,-0.726
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,BanditSum,0.714
dm-test-c50d33e9749e7bb484d9b69c4f5fca35a3a50cb5,BanditSum,-1.158
dm-test-2377095dda83df778e34304b7a09813808105d3b,BanditSum,-1.4795
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,BanditSum,-0.5356
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,LEAD-3,0.646
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,LEAD-3,0.605
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,LEAD-3,-0.599
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,LEAD-3,-0.822
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,LEAD-3,0.11566
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,LEAD-3,-1.183
dm-test-14c813567696f4e63a39993c09d4edb454036179,LEAD-3,0.728
dm-test-e470f0a87d7513bf880412524332047020422c3f,LEAD-3,0.594
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,LEAD-3,-0.4253
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,LEAD-3,0.601
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,LEAD-3,0.5845
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,LEAD-3,0.633
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,LEAD-3,0.6455
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,LEAD-3,0.1849
dm-test-4fb64a2298e18626db776fccf834be87388827e0,LEAD-3,0.4795
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,LEAD-3,-0.316
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,LEAD-3,-0.09607
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,LEAD-3,0.1677
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,LEAD-3,-1.099
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,LEAD-3,0.4487
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,LEAD-3,0.4124
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,LEAD-3,0.5522
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,LEAD-3,-1.796
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,LEAD-3,-0.3904
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,LEAD-3,0.3352
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,LEAD-3,0.613
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,LEAD-3,0.6772
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,LEAD-3,-0.9834
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,LEAD-3,-1.416
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,LEAD-3,-0.2391
dm-test-3785743303ddb8b594be7c449a37458b99e83812,LEAD-3,-1.195
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,LEAD-3,0.7153
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,LEAD-3,0.532
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,LEAD-3,-0.6064
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,LEAD-3,-1.398
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,LEAD-3,-1.361
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,LEAD-3,-0.0441
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,LEAD-3,-0.847
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,LEAD-3,-0.128
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,LEAD-3,-1.334
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,LEAD-3,0.3105
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,LEAD-3,-0.3066
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,LEAD-3,-0.2008
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,LEAD-3,0.818
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,LEAD-3,0.651
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,LEAD-3,0.3364
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,LEAD-3,0.588
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,LEAD-3,0.516
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,LEAD-3,0.725
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,LEAD-3,0.395
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,LEAD-3,0.603
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,LEAD-3,-0.3518
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,LEAD-3,0.9595
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,LEAD-3,0.7573
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,LEAD-3,0.8477
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,LEAD-3,-1.394
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,LEAD-3,-0.93
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,LEAD-3,0.2163
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,LEAD-3,0.6353
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,LEAD-3,0.1311
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,LEAD-3,0.6855
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,LEAD-3,0.69
dm-test-1749a22e2b6facaa057213cb9b33261b319bbd2b,LEAD-3,-1.585
dm-test-b255397ee863bd8faf9def57c0f76769153d905e,LEAD-3,-1.348
dm-test-e06ff0eb7c4fa4416fda84a9a239b15480c5a9d9,LEAD-3,0.07697
dm-test-d680ebcdcd59fd5ee9b602a06bcd5230c212835b,LEAD-3,-0.6685
dm-test-155754e1f2bc83f6836af78703edd4d00f19f381,LEAD-3,0.8525
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,LEAD-3,0.4001
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,LEAD-3,0.603
dm-test-8847383b72167c3f3dd2161b5b091b580c8f4da7,LEAD-3,-0.02422
dm-test-801763443e6c73e3857039f2223798b2b58bef19,LEAD-3,-0.01953
dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,LEAD-3,-1.222
dm-test-096e418a953af86df0d1560bec95bc7bfee2e34b,LEAD-3,-1.57
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac,LEAD-3,0.775
dm-test-2cfc33d01364162579f46b2764914a03a29453ce,LEAD-3,0.3672
dm-test-808a439a5d83fc47baaea934c8779a7ebc62470d,LEAD-3,0.316
dm-test-9b5a04b9879fe716a2dcd66dd331f99534603c16,LEAD-3,0.11816
dm-test-d3c9ce137ba24a69253508b3416630465c050ae4,LEAD-3,0.3645
dm-test-26e4e19d945cedcb489f28808c730658139c9415,LEAD-3,-0.895
dm-test-4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,LEAD-3,-0.3672
dm-test-2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,LEAD-3,-0.3271
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,LEAD-3,-0.9863
dm-test-051db270afc32571a08c15124330efe89d80fea8,LEAD-3,-1.654
dm-test-b1f6faac3f406edca1e0cad8cce1319c83e62605,LEAD-3,-1.007
dm-test-c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,LEAD-3,-1.416
cnn-test-bcdb32ae644040a721da880fff9c1d502048cd8b,LEAD-3,-1.01
dm-test-46609841ffd23e9c22d1507edf7b176ecc4d834f,LEAD-3,-1.618
dm-test-2a48112ddee712f2364f128076cb2db555a043b1,LEAD-3,0.3657
dm-test-fadabe346fe95d33eee71299e6596754768f5246,LEAD-3,0.8584
dm-test-f468efac7b3c54f8c42c2c81dff108c52ebe0d7d,LEAD-3,0.685
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,LEAD-3,-0.6025
dm-test-6372eff07fd3d6f578f90d6115e01747edccc095,LEAD-3,0.9736
dm-test-e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e,LEAD-3,0.314
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,LEAD-3,-1.167
dm-test-d83b82a9cd504218e604616be3f3c3928e3428b8,LEAD-3,-0.07623
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db,LEAD-3,-0.726
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,LEAD-3,0.1245
dm-test-c50d33e9749e7bb484d9b69c4f5fca35a3a50cb5,LEAD-3,0.8403
dm-test-2377095dda83df778e34304b7a09813808105d3b,LEAD-3,0.1178
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,LEAD-3,-0.5356
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,Pegasus,-0.4421
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,Pegasus,0.1954
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,Pegasus,-1.165
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,Pegasus,-1.5
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,Pegasus,-1.401
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,Pegasus,-1.058
dm-test-14c813567696f4e63a39993c09d4edb454036179,Pegasus,-1.443
dm-test-e470f0a87d7513bf880412524332047020422c3f,Pegasus,-1.194
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,Pegasus,-1.271
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,Pegasus,-1.012
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,Pegasus,-1.535
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,Pegasus,0.774
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,Pegasus,-1.321
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,Pegasus,0.303
dm-test-4fb64a2298e18626db776fccf834be87388827e0,Pegasus,-0.383
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,Pegasus,-1.679
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,Pegasus,-0.01695
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,Pegasus,-1.344
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,Pegasus,-1.432
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,Pegasus,-0.929
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,Pegasus,-1.481
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,Pegasus,-1.14
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,Pegasus,-1.325
dm-test-2cf8c2d1d2ceb1980249f77e703f9039e63799d0,Pegasus,-1.409
dm-test-b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,Pegasus,-0.1019
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,Pegasus,-0.677
dm-test-4001b252a072ac149c70840b22299cc6cfab3bae,Pegasus,0.8237
dm-test-cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,Pegasus,-1.403
dm-test-8e6c8aec6808f66ed0342e128a4e146f3ecd627d,Pegasus,-1.152
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,Pegasus,-1.441
dm-test-3785743303ddb8b594be7c449a37458b99e83812,Pegasus,0.618
dm-test-6721edf88c95f480a4db2c63649dbb03736aeadf,Pegasus,0.7617
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,Pegasus,0.588
dm-test-97bbda7ec22a736cd174b51513c72a6372d13d35,Pegasus,0.662
dm-test-3ba3bde4a1440134bb38ec22ba50db59986b544c,Pegasus,0.5615
dm-test-4e0de0ec6d5b9df174f54d03158de8f30aac861f,Pegasus,-0.9487
dm-test-8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,Pegasus,-1.472
dm-test-6f027d030f9ca86446dc893f1d10ced4c9a3561f,Pegasus,-1.223
dm-test-e43eef75de38d246db9d80216ca9f5487215a78b,Pegasus,0.758
dm-test-81bd721b16cad47dfd8d24baca5b30b006291db2,Pegasus,-1.157
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,Pegasus,0.872
dm-test-dea0ed2e587495e516ac85056e21a2076a9a993c,Pegasus,0.0444
dm-test-5be0a9584b051175d9f4842a143b76385335d96a,Pegasus,-0.888
dm-test-d89de9c2a76f2665560becfe5d761a4fc62b9926,Pegasus,-1.534
dm-test-8b59fa7715418c4bcc0d50e3caeb239129de453e,Pegasus,-1.15
dm-test-1747dcd6a007ee97954b6b10cde549bf82f6a4eb,Pegasus,1.024
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba,Pegasus,-1.235
dm-test-d296270ab4a4cf20f2d9c1aae7514687806f2b35,Pegasus,-0.9917
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6,Pegasus,0.8594
dm-test-9beaaf73e4517d5bf1bc284f386485d571da96cf,Pegasus,-0.8853
dm-test-4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,Pegasus,0.81
dm-test-18243373494a1722ddcd162ec67b63dd749633ab,Pegasus,0.637
dm-test-998cb27197db1fd299aff3322ac041ba4bf1148f,Pegasus,0.6484
dm-test-2feca9acf532e33f1ab7442c442c8e19787d8d7b,Pegasus,0.733
dm-test-8b51a10370a1219137e231192e65b9cd52238ea6,Pegasus,0.829
dm-test-31114653cd606fd3f4b1035f98dedd71f8282cd2,Pegasus,-1.002
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,Pegasus,-1.547
dm-test-f5fead94ee884800e84a212cc0edc78b11c4ba9f,Pegasus,0.556
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,Pegasus,-1.098
dm-test-a3b6201aca77b5bdaa5df02d6acee2be66233237,Pegasus,-1.183
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9,Pegasus,-1.181
dm-test-6c1341bedf92a304318545fbf1aad88651de7909,Pegasus,-1.701
dm-test-1749a22e2b6facaa057213cb9b33261b319bbd2b,Pegasus,-0.002827
dm-test-b255397ee863bd8faf9def57c0f76769153d905e,Pegasus,-1.498
dm-test-e06ff0eb7c4fa4416fda84a9a239b15480c5a9d9,Pegasus,-1.373
dm-test-d680ebcdcd59fd5ee9b602a06bcd5230c212835b,Pegasus,-1.35
dm-test-155754e1f2bc83f6836af78703edd4d00f19f381,Pegasus,0.531
dm-test-23e8c1d71474d239aa9ae37b9a05031b0054b8ce,Pegasus,0.879
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,Pegasus,-1.216
dm-test-8847383b72167c3f3dd2161b5b091b580c8f4da7,Pegasus,-1.129
dm-test-801763443e6c73e3857039f2223798b2b58bef19,Pegasus,0.0345
dm-test-c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,Pegasus,0.1632
dm-test-096e418a953af86df0d1560bec95bc7bfee2e34b,Pegasus,0.256
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac,Pegasus,-1.211
dm-test-2cfc33d01364162579f46b2764914a03a29453ce,Pegasus,-1.227
dm-test-808a439a5d83fc47baaea934c8779a7ebc62470d,Pegasus,0.6816
dm-test-9b5a04b9879fe716a2dcd66dd331f99534603c16,Pegasus,-0.89
dm-test-d3c9ce137ba24a69253508b3416630465c050ae4,Pegasus,-1.311
dm-test-26e4e19d945cedcb489f28808c730658139c9415,Pegasus,0.549
dm-test-4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,Pegasus,0.8525
dm-test-2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,Pegasus,-1.554
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975,Pegasus,-0.7236
dm-test-051db270afc32571a08c15124330efe89d80fea8,Pegasus,-1.347
dm-test-b1f6faac3f406edca1e0cad8cce1319c83e62605,Pegasus,-1.4375
dm-test-c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,Pegasus,0.728
cnn-test-bcdb32ae644040a721da880fff9c1d502048cd8b,Pegasus,-1.18
dm-test-46609841ffd23e9c22d1507edf7b176ecc4d834f,Pegasus,0.696
dm-test-2a48112ddee712f2364f128076cb2db555a043b1,Pegasus,0.8403
dm-test-fadabe346fe95d33eee71299e6596754768f5246,Pegasus,-1.2
dm-test-f468efac7b3c54f8c42c2c81dff108c52ebe0d7d,Pegasus,-1.221
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a,Pegasus,0.2009
dm-test-6372eff07fd3d6f578f90d6115e01747edccc095,Pegasus,-1.245
dm-test-e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e,Pegasus,-1.205
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9,Pegasus,-1.157
dm-test-d83b82a9cd504218e604616be3f3c3928e3428b8,Pegasus,-1.295
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db,Pegasus,-1.301
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,Pegasus,0.7085
dm-test-c50d33e9749e7bb484d9b69c4f5fca35a3a50cb5,Pegasus,-1.374
dm-test-2377095dda83df778e34304b7a09813808105d3b,Pegasus,-1.75
dm-test-e880fda4c25289f8325574246f0f8ed4ff5eb26b,Pegasus,0.8545
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,BART,0.4792
dm-test-f26d8400ae49b90d109c165d0f44b8f6ca253c08,BART,-0.2148
dm-test-207df192edc1836250b69d1bc5b9e6a38206eb78,BART,-1.286
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7,BART,0.535
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,BART,0.902
dm-test-f37fd6e9b6cc18a7132568e307ef3b130931e809,BART,-1.628
dm-test-14c813567696f4e63a39993c09d4edb454036179,BART,0.852
dm-test-e470f0a87d7513bf880412524332047020422c3f,BART,0.4036
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,BART,-1.046
dm-test-e428e25bbf8e06643154ce31b7c6fab64c81e857,BART,0.761
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,BART,-1.078
dm-test-eeef09d26cf30c2124c0399b08eedc6321fe5d20,BART,-1.205
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,BART,-0.7803
dm-test-9afda3cde191a883d8c166ceb5765eb53205d8f4,BART,0.0512
dm-test-4fb64a2298e18626db776fccf834be87388827e0,BART,0.3105
dm-test-03e271b4305517e02c9ead82d57327d32b99102e,BART,0.05518
dm-test-bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,BART,0.3572
dm-test-9d0fcbd873927674d12aafce4ae7754fd591d4e2,BART,0.5723
dm-test-9b1af0f993d78353ebd56a1b180e882e751527b3,BART,0.2544
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563,BART,-0.907
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31,BART,0.2915
dm-test-54b857a66cbd8473d6732e5da52d48612e636a37,BART,0.4614
